ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
2020-09-02 14:33:53.915150881,Ck76jL1pxtD3ITyzL1,10.8.0.117,33970,157.240.30.63,443,tcp,ssl,19.432970,7963,3004426,SF,ShADadttTFf,1000,61885,2292,3138520
2020-09-02 14:33:52.063443899,ClrilA2BIAcAvtI6G6,10.8.0.117,48886,157.240.30.27,443,tcp,ssl,21.284708,808,11870,SF,ShADadtFfR,19,1792,20,12918
2020-09-02 14:33:49.759463072,C1joeV1VXsHCLjiswg,10.8.0.117,33956,157.240.30.63,443,tcp,ssl,23.588811,7170,3445849,SF,ShADadttFf,1509,92374,2694,3708761
2020-09-02 14:33:49.757757902,CyaZhP168fSnjEW4i,10.8.0.117,33954,157.240.30.63,443,tcp,ssl,23.590572,8250,2466734,SF,ShADadttFf,1142,73406,1954,2666812
2020-09-02 14:33:49.863078117,Cuq0XY1vpDGqUUfoQe,10.8.0.117,33962,157.240.30.63,443,tcp,ssl,23.485496,20665,2199,SF,ShADadtFf,44,22985,35,4355
2020-09-02 14:33:48.334678888,CgnCcKyQn6Fuvtaaa,10.8.0.117,33952,157.240.30.63,443,tcp,ssl,25.013930,39179,187121,SF,ShADadTttFf,245,55011,254,206040
2020-09-02 14:33:51.553242922,CYaRbd1LgVHyMi0os7,10.8.0.117,58526,157.240.30.11,443,tcp,ssl,21.909839,1547,3462,SF,ShADadtFfR,21,2635,21,4595
2020-09-02 14:34:15.567967892,CFeM3q2CSFxSzx1908,10.8.0.117,65248,8.8.8.8,53,udp,dns,0.012800,40,85,SF,Dd,1,68,1,113
2020-09-02 14:34:25.302814007,CAriMv2MrASpSgbtDk,10.8.0.117,48726,8.8.8.8,53,udp,dns,0.000828,36,94,SF,Dd,1,64,1,122
2020-09-02 14:34:26.054291964,ClJ9164cerYJLoOBQj,10.8.0.117,64295,8.8.8.8,53,udp,dns,0.011035,46,62,SF,Dd,1,74,1,90
2020-09-02 14:34:28.137527943,CYnQRI2pSm4D01ZH25,10.8.0.117,57926,8.8.8.8,53,udp,dns,0.010719,40,91,SF,Dd,1,68,1,119
2020-09-02 14:34:28.190057993,C8tV0Q17oDpr8cZP49,10.8.0.117,1355,8.8.8.8,53,udp,dns,0.009021,37,76,SF,Dd,1,65,1,104
2020-09-02 14:34:28.256763935,Cz9d6j2Tevs3csiPu7,10.8.0.117,38026,8.8.8.8,53,udp,dns,0.010651,34,79,SF,Dd,1,62,1,107
2020-09-02 14:33:48.399820089,CeR9fB4b7ZJKPR1IAk,10.8.0.1,3,10.8.0.117,4,icmp,,3.673729,1096,0,OTH,,2,1152,0,0
2020-09-02 14:34:28.186304092,CoepxB3Chw2X4NTbie,10.8.0.117,48896,157.240.30.27,443,tcp,ssl,28.934406,498,455,SF,ShADadFf,9,974,6,775
2020-09-02 14:33:23.808558941,CBPoVA3CEo9RnTQNDj,10.8.0.117,58290,157.240.30.18,80,tcp,http,93.312201,320,156,SF,ShADadFf,6,640,4,372
2020-09-02 14:34:28.293402910,CUcwiV3pErZ9pLT30j,10.8.0.117,60978,157.240.30.35,443,tcp,ssl,28.827362,816,6517,SF,ShADadtFf,13,1536,13,8133
2020-09-02 14:34:28.137343884,CvADeV22K5TAlDh7c,10.8.0.117,48892,157.240.30.27,443,tcp,ssl,28.983424,13981,18081893,SF,ShADadtTFf,6927,374707,13717,18795185
2020-09-02 14:34:28.185489893,CFADjydqH5q29Weg9,10.8.0.117,48894,157.240.30.27,443,tcp,ssl,28.935484,1141,3418,SF,ShADadFf,17,2033,14,4154
2020-09-02 14:34:59.058437109,CjzSMl2SOuqjA4vSze,10.8.0.117,46758,8.8.8.8,53,udp,dns,0.000836,36,81,SF,Dd,1,64,1,109
2020-09-02 14:34:59.058777094,C2Vq83BPySxGB9vW3,10.8.0.117,54244,8.8.8.8,53,udp,dns,0.010975,34,74,SF,Dd,1,62,1,102
2020-09-02 14:34:59.059129953,CTNOvA1O3vEpzqER43,10.8.0.117,40210,8.8.8.8,53,udp,dns,0.000831,36,94,SF,Dd,1,64,1,122
2020-09-02 14:34:59.076047897,CD3dEk3tUDjMh2sm3b,10.8.0.117,54118,8.8.8.8,53,udp,dns,0.010891,38,83,SF,Dd,1,66,1,111
2020-09-02 14:34:59.076273918,CytuelzJJ7As5zy2i,10.8.0.117,43078,8.8.8.8,53,udp,dns,0.011419,40,80,SF,Dd,1,68,1,108
2020-09-02 14:35:12.197844028,C2u9c31vZCCiKM7cja,10.8.0.117,63543,8.8.8.8,53,udp,dns,0.000946,33,120,SF,Dd,1,61,1,148
2020-09-02 14:35:12.441023111,ComMwk2CF8LbFpX1Jk,10.8.0.117,1045,8.8.8.8,53,udp,dns,0.011053,31,185,SF,Dd,1,59,1,213
2020-09-02 14:35:12.441093922,CYCnBU1nXPQbqBmPm2,10.8.0.117,44760,8.8.8.8,53,udp,dns,0.011003,33,187,SF,Dd,1,61,1,215
2020-09-02 14:35:18.599500895,CvT6A5i77lKpFvcuc,10.8.0.117,41090,35.201.69.248,443,tcp,ssl,0.140214,920,1158,SF,ShADadfF,10,1448,10,1686
2020-09-02 14:35:14.646605968,Ck7LrV13uSp2ylfl3i,10.8.0.117,1231,8.8.8.8,53,udp,dns,0.000897,32,48,SF,Dd,1,60,1,76
2020-09-02 14:34:28.056071043,C7jAV2rmaBTHWbT0b,10.8.0.117,45505,239.255.255.250,1900,udp,,,,,S0,D,1,153,0,0
2020-09-02 14:34:28.185401917,CL7FMpD55bWjQjoTh,10.8.0.117,56624,157.240.30.27,443,udp,,0.041042,2640,6018,SF,Dd,5,2780,9,6270
2020-09-02 14:35:18.749583960,CBgDoe1QknbrJ4zDw1,10.8.0.117,50111,8.8.8.8,53,udp,dns,0.000992,40,56,SF,Dd,1,68,1,84
2020-09-02 14:35:24.051503897,CHjVLs1aaHARFzWsZd,10.8.0.117,39818,8.8.8.8,53,udp,dns,0.000859,40,56,SF,Dd,1,68,1,84
2020-09-02 14:35:29.266397953,CyqqXf1DDID0q39Mw9,10.8.0.117,38688,8.8.8.8,53,udp,dns,0.000843,40,56,SF,Dd,1,68,1,84
2020-09-02 14:35:30.982091904,Cb2vPeEkAhBHuDuec,10.8.0.117,40857,8.8.8.8,53,udp,dns,0.017172,50,66,SF,Dd,1,78,1,94
2020-09-02 14:35:34.457000971,CPVwMc2uXl7nV28iVh,10.8.0.117,55350,8.8.8.8,53,udp,dns,0.009177,39,55,SF,Dd,1,67,1,83
2020-09-02 14:34:26.052057028,CeVhXVZ0wK7mBjltc,10.8.0.117,50428,157.240.30.27,443,udp,,18.497091,12287,1115044,SF,Dd,111,15395,927,1141000
2020-09-02 14:34:25.272716999,C6TUG51PiMEsGeemy5,10.8.0.117,47455,157.240.30.18,443,udp,,22.453444,21774,73404,SF,Dd,82,24070,127,76960
2020-09-02 14:35:14.653085947,C2CHBz4ktEJeM70wTh,10.8.0.117,41088,35.201.69.248,443,tcp,ssl,37.497554,3290,6708,SF,ShADadFf,28,4754,31,8328
2020-09-02 14:35:12.459707975,CEpdHu2mjU9D0gHYP4,10.8.0.117,54194,192.229.233.50,443,tcp,ssl,39.696170,1393,5143,SF,ShADadFf,15,2181,14,5879
2020-09-02 14:35:12.458328009,CYeKR14UuvXf0CEi1i,10.8.0.117,46724,68.232.34.217,443,tcp,ssl,39.697608,1394,5124,SF,ShADadtFf,15,2026,16,6151
2020-09-02 14:35:12.207015991,CiSSFRmnfQowhaF1k,10.8.0.117,56228,104.244.42.194,443,tcp,ssl,39.951250,10503,17255,SF,ShADadttFfR,64,14031,66,20695
2020-09-02 14:34:59.062366962,C64E1g2DvtViCNal0h,10.8.0.117,38470,157.240.30.18,443,udp,,0.049078,2640,1794,SF,Dd,5,2780,6,1962
2020-09-02 14:34:59.057379961,CUV2Ho4LyB1xW4Lmdc,10.8.0.117,52312,157.240.30.18,443,tcp,ssl,65.017774,481,494,SF,ShADadfF,9,957,8,918
2020-09-02 14:34:59.063246965,CGxmNmRVRebBCc1x4,10.8.0.117,60986,157.240.30.35,443,tcp,ssl,65.023765,485,494,SF,ShADadfF,9,961,8,918
2020-09-02 14:34:59.062433004,CYxppw1PYbB5N7vr6f,10.8.0.117,52316,157.240.30.18,443,tcp,ssl,65.025906,483,494,SF,ShADadfF,9,959,8,918
2020-09-02 14:34:59.058371067,CFG14Y2cv4djQJc9El,10.8.0.117,60982,157.240.30.35,443,tcp,ssl,65.032010,483,494,SF,ShADadfF,9,959,8,918
2020-09-02 14:36:17.673777103,CeqSajfZvDFq1FLYg,10.8.0.117,37698,13.107.42.23,443,tcp,ssl,0.812868,479,7246,SF,ShADadFfR,21,1339,20,8058
2020-09-02 14:36:15.890822887,CZHtz64VhurJylQIGb,10.8.0.117,56246,104.244.42.194,443,tcp,ssl,3.331139,782,3643,SF,ShADadtFRfR,17,1686,14,4379
2020-09-02 14:36:19.405533075,CmZHNWGB7ULDZ7L09,10.8.0.117,53964,34.102.215.127,443,tcp,ssl,0.177059,896,4429,SF,ShADadFf,12,1528,12,5061
2020-09-02 14:36:16.856317997,CN4ss33DPs7SPD8mOj,10.8.0.117,44104,40.122.172.160,443,tcp,ssl,3.597762,3234,6234,SF,ShADTadttfF,25,7161,21,7134
2020-09-02 14:36:16.822995901,CqkkLC1SWV1xjJL8gd,10.8.0.117,58203,8.8.8.8,53,udp,dns,0.030712,42,108,SF,Dd,1,70,1,136
2020-09-02 14:36:16.837373018,CTgAFu4EI2YcxRRa9e,10.8.0.117,1245,8.8.8.8,53,udp,dns,0.000798,41,139,SF,Dd,1,69,1,167
2020-09-02 14:36:16.907227039,CEYPPs4HGxw1HfvSq9,10.8.0.117,35079,8.8.8.8,53,udp,dns,0.045389,61,156,SF,Dd,1,89,1,184
2020-09-02 14:36:16.840748072,CriN9h1d6hCNTMi3P6,10.8.0.117,38680,13.107.4.52,80,tcp,http,5.424154,154,495,SF,ShADadFf,6,414,5,707
2020-09-02 14:36:17.671574116,CjFTHUL7VeVKYe43k,10.8.0.117,37696,13.107.42.23,443,tcp,ssl,4.790809,1839,98565,SF,ShADadtFf,116,6499,207,107764
2020-09-02 14:36:17.667321920,Cr5KXC4gQfrP4EZg1i,10.8.0.117,44247,8.8.8.8,53,udp,dns,0.000894,39,199,SF,Dd,1,67,1,227
2020-09-02 14:36:19.588387012,CTYI4t4NuCD8D9ksBi,10.8.0.117,38670,104.244.42.195,443,tcp,ssl,3.459945,971,3940,SF,ShADadtFfR,16,1859,15,4728
2020-09-02 14:36:19.381794930,CkNTuk3JJFO8ol8p78,10.8.0.117,52938,8.8.8.8,53,udp,dns,0.000858,33,167,SF,Dd,1,61,1,195
2020-09-02 14:36:19.394401073,CvEBv92hCoYi8CcUI2,10.8.0.117,58832,8.8.8.8,53,udp,dns,0.009231,36,52,SF,Dd,1,64,1,80
2020-09-02 14:36:19.585791111,CIbPUf3T8XKS1PfX6c,10.8.0.117,59504,8.8.8.8,53,udp,dns,0.000840,35,51,SF,Dd,1,63,1,79
2020-09-02 14:36:16.955599070,Ccba7z2DVI8MlqC2J9,10.8.0.117,52162,40.74.219.49,443,tcp,ssl,7.699075,7730,7435,SF,ShADTadttFf,31,11565,26,8535
2020-09-02 14:36:19.661870956,CkwE1g1mXtaKiboaIl,10.8.0.117,57204,8.8.8.8,53,udp,dns,0.000827,38,138,SF,Dd,1,66,1,166
2020-09-02 14:36:19.712456942,CJO0Kw27zLwmsas9El,10.8.0.117,42473,8.8.8.8,53,udp,dns,0.000847,48,145,SF,Dd,1,76,1,173
2020-09-02 14:36:17.031109095,CW9YEc4evFc4vUwDde,10.8.0.117,52164,40.74.219.49,443,tcp,ssl,7.701394,8145,7422,SF,ShADTadttFf,28,9489,24,8406
2020-09-02 14:36:22.278647900,C77jQPctsQeQqjvB2,10.8.0.117,46780,68.232.34.200,443,tcp,ssl,3.145682,740,9224,SF,ShADadFf,18,1480,17,9916
2020-09-02 14:36:19.664401054,C2WyFN1hJikUyYAL49,10.8.0.117,52204,13.94.251.244,443,tcp,ssl,5.769165,1061,6706,SF,ShADadttFf,20,2253,19,8070
2020-09-02 14:36:19.715296984,C3b3rg4IcEo347m3qb,10.8.0.117,34504,40.114.211.99,443,tcp,ssl,5.718309,1249,6901,SF,ShADTadttFf,23,2644,21,8013
2020-09-02 14:36:20.822252035,CW8itk47zjxsMLC8T,10.8.0.117,52182,40.74.219.49,443,tcp,ssl,4.720616,2694,6768,SF,ShADTadttFf,22,3830,19,7552
2020-09-02 14:36:20.821314096,CJfoqi1itdmzrKl6Gd,10.8.0.117,52180,40.74.219.49,443,tcp,ssl,4.721604,2765,6793,SF,ShADdttaFf,21,3769,18,7977
2020-09-02 14:36:22.274373055,C75cPW3vatNf78megh,10.8.0.117,55111,8.8.8.8,53,udp,dns,0.000852,51,225,SF,Dd,1,79,1,253
2020-09-02 14:36:34.709784985,C4gQIe1vyQDReuL7N5,10.8.0.117,46918,8.8.8.8,53,udp,dns,0.009307,39,55,SF,Dd,1,67,1,83
2020-09-02 14:36:34.712743998,CYIQJ40M1f5aBUaUe,10.8.0.117,48005,8.8.8.8,53,udp,dns,0.012996,36,94,SF,Dd,1,64,1,122
2020-09-02 14:36:56.005980015,CYOvl93xjh10LTGfv1,10.8.0.117,2921,8.8.8.8,53,udp,dns,0.009277,46,62,SF,Dd,1,74,1,90
2020-09-02 14:36:15.957027912,C8aipg36g2GkjxekNe,10.8.0.1,3,10.8.0.117,4,icmp,,4.581302,2740,0,OTH,,5,2880,0,0
2020-09-02 14:37:15.471138000,Cqg2kC3dSq5NXBj5D3,10.8.0.117,24569,8.8.8.8,53,udp,dns,0.017441,40,56,SF,Dd,1,68,1,84
2020-09-02 14:37:15.626343966,CWGjCKveaRJ3iOQT4,10.8.0.117,12915,8.8.8.8,53,udp,dns,0.016861,48,64,SF,Dd,1,76,1,92
2020-09-02 14:37:34.019953012,CF9VVu1vAvWE78HkF1,10.8.0.117,60754,69.171.250.20,443,tcp,ssl,0.195208,2092,965,RSTO,ShADadR,20,3140,16,1805
2020-09-02 14:36:34.710632086,CJQexHK6EDeubpeKg,10.8.0.117,52376,157.240.30.18,443,tcp,ssl,59.505194,16476,7512,SF,ShADadFfRR,44,18748,31,9132
2020-09-02 14:36:56.004420042,CVNKev16aT2Whlmlg,10.8.0.117,48966,157.240.30.27,443,tcp,ssl,38.211478,1358,16232,SF,ShADadttFf,27,2902,23,17436
2020-09-02 14:36:34.644253969,CP0Z0k4bvqknorrxw1,10.8.0.117,48962,157.240.30.27,443,tcp,ssl,59.571688,1452,11809,SF,ShADadtFf,24,2744,22,12961
2020-09-02 14:37:34.022548914,CIus7m9I8DcRDgV03,10.8.0.117,27542,8.8.8.8,53,udp,dns,0.000852,40,80,SF,Dd,1,68,1,108
2020-09-02 14:38:52.290865898,CizSET1Lj8XzlMpzD5,10.8.0.117,52488,216.58.201.110,443,tcp,ssl,0.274887,2893,5192,SF,ShADadTfF,13,4926,12,5848
2020-09-02 14:38:53.157315016,C60KUBB1mWVgTHSli,10.8.0.117,47782,147.32.83.230,8000,tcp,,3.260685,0,0,S0,S,3,180,0,0
2020-09-02 14:38:48.422017097,CWApfN3UTvjGLZyJKl,10.8.0.117,19962,8.8.8.8,53,udp,dns,0.011190,36,94,SF,Dd,1,64,1,122
2020-09-02 14:38:50.206635952,CGolb645kmwKxfZxt7,10.8.0.117,13900,8.8.8.8,53,udp,dns,0.011724,33,87,SF,Dd,1,61,1,115
2020-09-02 14:38:50.940470934,CXDHlA1iGWzdQS7LIc,10.8.0.117,27862,8.8.8.8,53,udp,dns,0.010512,37,91,SF,Dd,1,65,1,119
2020-09-02 14:38:52.271037102,CmwWGt1PO1uaGODfjd,10.8.0.117,14443,8.8.8.8,53,udp,dns,0.016970,49,84,SF,Dd,1,77,1,112
2020-09-02 14:38:52.865408897,CYEFZr4yOdql0M1oO6,10.8.0.117,25502,8.8.8.8,53,udp,dns,0.009222,47,63,SF,Dd,1,75,1,91
2020-09-02 14:38:52.913239956,C9vurc2Yk07T7yT3G8,10.8.0.117,15204,8.8.8.8,53,udp,dns,0.028430,48,64,SF,Dd,1,76,1,92
2020-09-02 14:38:53.745862007,CgEcRA4GoAPDj01OAf,10.8.0.117,15257,8.8.8.8,53,udp,dns,0.009246,36,100,SF,Dd,1,64,1,128
2020-09-02 14:34:15.584578991,CE2v1V1PiJwfenwq22,10.8.0.117,44670,157.240.30.34,443,tcp,ssl,0.118824,686,3299,S1,ShADad,9,1162,8,3723
2020-09-02 14:39:22.886799097,CCPThQ3CvFqPeFA8Pc,10.8.0.117,25335,8.8.8.8,53,udp,dns,0.009104,44,132,SF,Dd,1,72,1,160
2020-09-02 14:38:48.423726082,CAo0w53bRBjFTncPtj,10.8.0.117,51220,157.240.27.18,443,udp,,0.172983,16552,6650,SF,Dd,17,17028,13,7014
2020-09-02 14:34:59.075050116,CnCVN6i60NAbKmFxl,10.8.0.117,60690,69.171.250.20,443,tcp,ssl,0.829213,1064,3378,S1,ShADad,11,1644,10,3906
2020-09-02 14:38:50.207918882,CEVdaZ1J4gusOKXvRc,10.8.0.117,34058,157.240.30.63,443,tcp,ssl,65.020799,490,494,SF,ShADadfF,9,966,8,918
2020-09-02 14:38:50.939213037,C7bvit4YLpboA02B71,10.8.0.117,34060,157.240.30.63,443,tcp,ssl,65.744814,123045,2222,SF,ShADadfFr,122,129397,81,6418
2020-09-02 14:38:52.319050074,CHTNtx4Fle9gvLfoDe,10.8.0.1,3,10.8.0.117,4,icmp,,30.622713,3836,0,OTH,,7,4032,0,0
2020-09-02 14:35:24.057827950,C5O3iu2Keow2DmZewk,10.8.0.117,45728,69.195.179.128,443,tcp,ssl,5.357761,517,3305,SF,ShADadFfR,6,849,4,823
2020-09-02 14:35:18.753271103,CPPaCw1yaCY5XPfzY7,10.8.0.117,46242,69.195.168.128,443,tcp,ssl,5.549692,517,3303,SF,ShADadFfR,6,849,4,821
2020-09-02 14:35:29.270857096,Ci0guz1WzvpYNKrgr,10.8.0.117,43710,69.195.174.128,443,tcp,ssl,5.310274,517,3305,SF,ShADadFfR,6,849,4,823
2020-09-02 14:35:34.468049049,CY7ks5rBgQy3Kzfmg,10.8.0.117,39604,209.237.194.128,443,tcp,ssl,5.276174,517,3305,SF,ShADadFfR,6,849,4,823
2020-09-02 14:40:50.356704950,CLo4FPSWnPif3c3Rl,10.8.0.117,44385,8.8.8.8,53,udp,dns,0.014595,37,91,SF,Dd,1,65,1,119
2020-09-02 14:36:19.384543896,CsMdO13bzHM8aWrvA9,10.8.0.117,36738,20.44.78.251,443,tcp,ssl,6.154550,177,5043,SF,ShADadFfR,6,509,4,1212
2020-09-02 14:41:18.374965906,CzTA7g1DFXI1KTshme,10.8.0.117,36344,8.8.8.8,53,udp,dns,0.017112,34,79,SF,Dd,1,62,1,107
2020-09-02 14:40:50.356789112,CsdYAm2EOAFybtCp6b,10.8.0.117,34076,157.240.30.63,443,tcp,ssl,65.083275,33497,1317,SF,ShADadfFr,43,35741,31,2913
2020-09-02 14:36:15.890898943,CXVBUUhqkJEhiN2s6,10.8.0.117,56248,104.244.42.194,443,tcp,ssl,359.765525,14613,6278,SF,ShADadTFfR,71,20987,49,8834
2020-09-02 14:36:20.823829889,ClMierphk7pDs2oC,10.8.0.117,52184,40.74.219.49,443,tcp,ssl,96.595882,236,6037,RSTR,ShADFrT,14,2704,2,92
2020-09-02 14:38:52.964088917,CnW2ag0jlD1R5761c,10.8.0.117,41650,216.58.201.106,443,tcp,ssl,240.182191,899,3755,SF,ShADadfFr,20,1947,18,4663
2020-09-02 14:37:41.368531942,CFtHkp1OboAxZmreoi,10.8.0.117,60756,69.171.250.20,443,tcp,ssl,74.826385,2447,1311,S1,ShADadt,24,3715,22,2554
2020-09-02 14:38:53.760946035,C4sGdL1uDrXYowov5l,10.8.0.117,37428,172.217.23.234,443,tcp,ssl,300.070623,2145,6813,RSTR,ShADadTfr,15,4282,16,7641
2020-09-02 14:39:00.428457975,CKwfPy2GoRYlUeD35i,10.8.0.117,47782,147.32.83.230,8000,tcp,http,303.370376,854,736,SF,ShADTadfF,15,1910,6,1068
2020-09-02 14:38:52.876880884,Cei99t36MqalrZDt81,10.8.0.117,53922,216.58.201.99,443,tcp,ssl,318.040141,1098,3929,SF,ShADadfFr,15,1886,10,4445
2020-09-02 14:44:11.872554064,C8QVv64L7m9Pcpq3d7,10.8.0.117,47782,147.32.83.230,8000,tcp,,,,,SH,F,1,52,0,0
2020-09-02 14:44:19.996584892,Cy8fPZ2zCP7rasvhg5,10.8.0.117,47782,147.32.83.230,8000,tcp,,,,,SH,F,1,52,0,0
2020-09-02 14:39:22.897712946,CyZHDt357HAmupBs1c,10.8.0.117,57544,172.217.23.206,443,tcp,ssl,300.044211,1485,1477,RSTR,ShADadfr,10,2013,10,1993
2020-09-02 14:37:15.490787029,CmKQPy2E2AqKmpfOrd,10.8.0.117,54534,172.217.23.202,443,tcp,ssl,427.513973,9162,3885,RSTR,ShADadTfr,24,17163,22,5097
2020-09-02 14:44:36.148988008,C0PFhIFGlyKYx7o43,10.8.0.117,47782,147.32.83.230,8000,tcp,,,,,SH,F,1,52,0,0
2020-09-02 14:45:08.529236078,C5xRuErcvFsJr30d1,10.8.0.117,47782,147.32.83.230,8000,tcp,,,,,SH,F,1,52,0,0
2020-09-02 14:45:09.493365049,CYdtPZ1B0XClu1s6oa,10.8.0.117,4562,8.8.8.8,53,udp,dns,0.009127,37,53,SF,Dd,1,65,1,81
2020-09-02 14:45:01.674946070,CLfWhl4LNwbNxuP75c,10.8.0.1,3,10.8.0.117,4,icmp,,7.854616,1644,0,OTH,,3,1728,0,0
2020-09-02 14:37:15.647121906,C4VQgYcUCSeBhrTwf,10.8.0.117,37410,172.217.23.234,443,tcp,ssl,240.073302,1421,4030,S3,ShADadf,15,2221,16,4870
2020-09-02 14:41:18.395142078,CE4MFJ1RAv9jD7j8f4,10.8.0.117,57736,74.125.71.188,5228,tcp,ssl,0.123012,1025,850,S1,ShADad,8,1449,8,1274
2020-09-02 14:39:03.635539055,C0Uxcf30mJ2Lq5wbX,10.8.0.117,47786,147.32.83.230,8000,tcp,http,431.165056,3232,276,SF,ShADdaTFf,39,7973,33,2048
2020-09-02 14:45:09.504214048,C9tSxK3E9blgAvT9sj,10.8.0.117,44070,216.58.201.74,443,tcp,ssl,300.065339,2870,4093,RSTR,ShADadTfr,14,4955,14,4841
2020-09-02 14:46:14.228583097,Cpl4DO1V4VtiWE0oBj,10.8.0.117,47800,147.32.83.230,8000,tcp,http,300.840965,854,736,SF,ShADTadfF,15,1910,6,1068
2020-09-02 14:51:24.934207916,CBpKqg4mytfufZvLLi,10.8.0.117,47800,147.32.83.230,8000,tcp,,,,,SH,F,1,52,0,0
2020-09-02 14:51:34.807271957,CdAch83rCMKFcC3Fli,10.8.0.117,47800,147.32.83.230,8000,tcp,,,,,SH,F,1,52,0,0
2020-09-02 14:51:54.551179886,CSAhOHKnHdnB2Q73,10.8.0.117,47800,147.32.83.230,8000,tcp,,,,,SH,F,1,52,0,0
2020-09-02 14:52:34.103245974,CCB1f51bXHx5BcAKBe,10.8.0.117,47800,147.32.83.230,8000,tcp,,,,,SH,F,1,52,0,0
2020-09-02 14:48:38.847400904,CLcQhW1SxpdlwFMcna,74.125.71.188,5228,10.8.0.117,57736,tcp,,0.021791,24,28,OTH,DadA,2,128,2,132
2020-09-02 14:49:35.680821896,C4NXeo3k9I9F6W2swk,10.8.0.117,44670,157.240.30.34,443,tcp,,0.050721,31,31,OTH,DadA,2,135,2,135
2020-09-02 14:50:19.868870974,CMiUg3fa4nsckqYh,10.8.0.117,60690,69.171.250.20,443,tcp,,0.050933,31,31,OTH,DadA,2,135,2,135
2020-09-02 14:56:41.531064034,ClWzPf3oMl4uVjOMT3,10.8.0.1,3,10.8.0.117,4,icmp,,0.000043,1096,0,OTH,,2,1152,0,0
2020-09-02 14:46:14.828769922,CNPVre20YbYQSMf7Ke,10.8.0.117,47802,147.32.83.230,8000,tcp,http,869.676223,692835,810,RSTR,ShADdTawwfr,639,731444,375,20378
2020-09-02 15:01:19.646604061,C4CGwj4LQYp5JlwjC7,10.8.0.117,54040,34.102.215.127,443,tcp,ssl,0.162370,933,1316,SF,ShADadFf,10,1461,10,1844
2020-09-02 15:01:19.810988903,C02mhv37NfONtED6i9,10.8.0.117,38746,104.244.42.195,443,tcp,ssl,0.203071,896,742,SF,ShADadFfR,10,1400,9,1218
2020-09-02 15:01:19.644319057,CGfv3P0afmXNki794,10.8.0.117,59173,8.8.8.8,53,udp,dns,0.000873,36,52,SF,Dd,1,64,1,80
2020-09-02 15:01:20.008902073,CIFzkhNunTauYKWZe,10.8.0.117,54044,34.102.215.127,443,tcp,ssl,60.056794,1004,4661,SF,ShADadfFr,19,2000,19,5633
2020-09-02 14:57:28.858843088,Czch711A3bfMwIhkpd,10.8.0.117,57736,74.125.71.188,5228,tcp,,0.063941,28,26,OTH,DadA,2,132,2,130
2020-09-02 14:53:03.521032095,CTMMNp41aIoFWNGS7l,10.8.0.117,60756,69.171.250.20,443,tcp,,282.353557,68,254,OTH,DdAa,4,276,3,410
2020-09-02 15:02:29.594460964,CB5LlJ8vbIPKf578d,10.8.0.1,3,10.8.0.117,4,icmp,,,,,OTH,,1,576,0,0
2020-09-02 15:02:29.586828947,Cu9dLO3d0GWeYBLavc,10.8.0.117,54052,34.102.215.127,443,tcp,ssl,60.038283,2985,1448,SF,ShADadTfFr,21,5434,18,2392
